datetime,latitude,longitude
2019/12/11 16:51:00.103,  35.63943680, 139.29622960
2019/12/11 16:51:00.755,  35.63943710, 139.29623060
2019/12/11 16:51:01.548,  35.63943740, 139.29623160
2019/12/11 16:51:01.746,  35.63943760, 139.29623260
2019/12/11 16:51:02.757,  35.63943720, 139.29623350
2019/12/11 16:51:03.272,  35.63943700, 139.29623430
2019/12/11 16:51:03.749,  35.63943320, 139.29623830
2019/12/11 16:51:04.757,  35.63942930, 139.29624400
2019/12/11 16:51:05.754,  35.63942500, 139.29624860
2019/12/11 16:51:06.740,  35.63942140, 139.29624980
2019/12/11 16:51:07.763,  35.63941700, 139.29625030
2019/12/11 16:51:08.740,  35.63941430, 139.29624890
2019/12/11 16:51:09.609,  35.63941350, 139.29624730
2019/12/11 16:51:09.744,  35.63942610, 139.29623170
2019/12/11 16:51:10.757,  35.63942920, 139.29624530
2019/12/11 16:51:11.741,  35.63942950, 139.29624630
2019/12/11 16:51:12.753,  35.63942970, 139.29624660
2019/12/11 16:51:13.756,  35.63942970, 139.29624680
2019/12/11 16:51:14.748,  35.63942980, 139.29624690
2019/12/11 16:51:15.484,  35.63942980, 139.29624690
2019/12/11 16:51:15.737,  35.63942980, 139.29624700
2019/12/11 16:51:16.787,  35.63942980, 139.29624700
2019/12/11 16:51:17.768,  35.63942980, 139.29624700
2019/12/11 16:51:18.743,  35.63942980, 139.29624700
2019/12/11 16:51:19.750,  35.63942980, 139.29624700
2019/12/11 16:51:20.757,  35.63942980, 139.29624700
2019/12/11 16:51:21.750,  35.63942980, 139.29624700
2019/12/11 16:51:22.759,  35.63942980, 139.29624700
2019/12/11 16:51:23.747,  35.63942980, 139.29624700
2019/12/11 16:51:24.741,  35.63942980, 139.29624700
2019/12/11 16:51:25.745,  35.63942980, 139.29624700
2019/12/11 16:51:26.756,  35.63942980, 139.29624700
2019/12/11 16:51:27.749,  35.63942980, 139.29624700
2019/12/11 16:51:28.751,  35.63942980, 139.29624700
2019/12/11 16:51:29.734,  35.63942980, 139.29624700
2019/12/11 16:51:30.774,  35.63942980, 139.29624700
2019/12/11 16:51:31.742,  35.63942980, 139.29624700
2019/12/11 16:51:32.747,  35.63942980, 139.29624700
2019/12/11 16:51:33.685,  35.63942980, 139.29624700
2019/12/11 16:51:34.745,  35.63942980, 139.29624700
2019/12/11 16:51:35.753,  35.63942980, 139.29624700
2019/12/11 16:51:36.750,  35.63942980, 139.29624700
