datetime,accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[rad/s],gyroY[rad/s],gyroZ[rad/s],angleX[rad],angleY[rad],angleZ[rad],step
2019/09/12 18:08:16.755,  -0.57519996,  -0.58179998,  -0.00850000,   0.05497787,   0.81489420,   0.55222219,   0.00470092,  -0.11188354,  -1.88657606,    1
2019/09/12 18:08:16.783,  -0.35420001,  -0.48319998,   0.13820000,  -0.06719518,   0.86620688,   0.59620446,   0.01182903,  -0.09106059,  -1.89752162,    1
2019/09/12 18:08:16.801,   0.21949999,  -0.15330000,   0.97659999,  -0.22724187,   0.97982782,   0.70371675,   0.01751965,  -0.07131909,  -1.89511943,    1
2019/09/12 18:08:16.817,   0.42010000,   0.38689998,   1.01450002,  -0.28710666,   1.13010073,   0.76235980,   0.02064071,  -0.05164226,  -1.89373434,    1
2019/09/12 18:08:16.833,   0.42010000,   0.38689998,   1.01450002,  -0.21380283,   1.22661734,   0.76724672,   0.02064071,  -0.05164226,  -1.89455688,    1
2019/09/12 18:08:16.851,   0.42589998,   0.60119998,   0.35889998,  -0.17715092,   1.01770151,   0.72937310,   0.02553655,  -0.02681017,  -1.89345348,    1
2019/09/12 18:08:16.870,  -0.12480000,   1.12109995,   0.01070000,  -0.37140608,   0.64629543,   0.65973443,   0.01848863,  -0.00476294,  -1.88842106,    1
2019/09/12 18:08:16.890,   0.95429999,   0.69309998,   1.12070000,  -0.60109138,   0.22602014,   0.67683870,   0.02591392,   0.00839519,  -1.88094234,    1
2019/09/12 18:08:16.918,   0.45440000,   0.22049999,   1.89230001,  -0.60597831,  -0.18448131,   0.53756142,   0.04591362,  -0.00066352,  -1.86384642,    1
2019/09/12 18:08:16.934,  -0.27129999,  -0.00350000,   1.72969997,  -0.44837508,  -0.32864550,   0.24190263,   0.04591362,  -0.00066352,  -1.85575426,    1
2019/09/12 18:08:16.950,  -0.27129999,  -0.00350000,   1.72969997,  -0.19058995,  -0.48014009,   0.02321288,   0.05414318,  -0.00471805,  -1.84417117,    1
2019/09/12 18:08:16.969,  -0.30559999,  -0.17250000,   1.43839991,   0.17470746,  -0.72570789,  -0.05009095,   0.05795281,  -0.01431086,  -1.83535945,    1
2019/09/12 18:08:16.990,   0.18500000,   0.52840000,   0.47639999,   0.52900928,  -1.10444438,  -0.20402899,   0.04934408,  -0.03043972,  -1.83137333,    1
2019/09/12 18:08:17.018,  -0.98269999,  -0.00680000,  -0.12740000,   0.67561698,  -1.56992364,  -0.52656585,   0.02451660,  -0.07497097,  -1.83345926,    1
2019/09/12 18:08:17.035,  -0.57830000,  -1.59019995,  -0.90549999,   0.65729100,  -2.04517674,  -0.84055054,   0.00992205,  -0.11628124,  -1.83827293,    1
2019/09/12 18:08:17.052,  -0.57830000,  -1.59019995,  -0.90549999,   0.57910025,  -2.12947631,  -0.86620688,   0.00992205,  -0.11628124,  -1.84324050,    1
2019/09/12 18:08:17.070,   0.12510000,  -2.52509999,  -0.06050000,   0.23335052,  -1.44164193,  -0.57421333,   0.01967166,  -0.16037500,  -1.84389234,    1
2019/09/12 18:08:17.090,   0.18009999,  -2.30449986,   1.95869994,  -0.04520403,  -0.32375857,  -0.16737707,   0.01311399,  -0.18945944,  -1.86045349,    1
2019/09/12 18:08:17.110,  -0.44380000,  -1.05939996,   2.43009996,   0.55100042,   0.78435099,   0.39828414,   0.02115066,  -0.18910226,  -1.86627197,    1
2019/09/12 18:08:17.135,   0.23699999,  -1.02349997,   1.31229997,   0.90652400,   0.81855941,   0.60964352,   0.01172712,  -0.17324141,  -1.86813879,    1
2019/09/12 18:08:17.154,   0.52529997,  -0.16309999,   0.07669999,   1.01037109,   0.75502944,   0.61453044,  -0.00265127,  -0.16156283,  -1.87033844,    1
2019/09/12 18:08:17.177,  -0.28880000,   0.26639998,  -0.80489999,   0.82588983,   0.79290307,   0.43493605,  -0.03917747,  -0.12905358,  -1.88538754,    1
2019/09/12 18:08:17.202,  -0.48780000,  -0.25610000,  -0.13650000,   0.51190507,   0.96638882,   0.33841935,  -0.04855768,  -0.11006308,  -1.88080978,    1
2019/09/12 18:08:17.219,  -1.27649999,  -0.13140000,   0.24470000,   0.26389378,   1.21317840,   0.34452799,  -0.05188633,  -0.07399486,  -1.89117134,    1
2019/09/12 18:08:17.235,  -0.89049995,  -0.61070001,   0.14530000,   0.22602014,   1.10810959,   0.48747045,  -0.05579757,  -0.05237640,  -1.90100980,    1
2019/09/12 18:08:17.253,  -0.89049995,  -0.61070001,   0.14530000,   0.37629297,   0.80145520,   0.62796944,  -0.05579757,  -0.05237640,  -1.90377188,    1
2019/09/12 18:08:17.270,  -0.98249996,  -0.38819999,  -0.18599999,   0.56443948,   0.34330627,   0.69027770,  -0.05914806,  -0.02748217,  -1.90500641,    1
2019/09/12 18:08:17.289,  -0.63010001,  -0.49509999,  -0.37669998,   0.66584313,  -0.02443461,   0.74403387,  -0.07017364,  -0.02149931,  -1.91278815,    1
2019/09/12 18:08:17.310,  -0.87549996,  -0.60539997,  -0.27460000,   0.68416905,  -0.08307767,   0.82466805,  -0.07750533,  -0.01445261,  -1.91289437,    1
2019/09/12 18:08:17.337,  -0.09310000,  -0.23760000,  -1.17320001,   0.69027770,   0.03909538,   0.96028018,  -0.10332921,  -0.01774707,  -1.91122961,    1
2019/09/12 18:08:17.355,  -0.56830001,  -0.10250000,  -1.11109996,   0.63163465,   0.12828170,   0.94073248,  -0.11574218,  -0.01722710,  -1.91094637,    1
2019/09/12 18:08:17.371,  -0.56830001,  -0.10250000,  -1.11109996,   0.45937064,   0.02321288,   0.92118478,  -0.11574218,  -0.01722710,  -1.91120005,    1
2019/09/12 18:08:17.390,  -0.17620000,   0.03650000,  -0.52079999,   0.30909780,  -0.05742133,   0.90530229,  -0.12572671,  -0.01725828,  -1.90871942,    1
2019/09/12 18:08:17.411,  -0.31770000,   0.08750000,  -0.25779998,   0.23457225,  -0.10995574,   0.88086766,  -0.13161765,  -0.02075898,  -1.90970898,    1
2019/09/12 18:08:17.437,   0.91839999,   1.04740000,   0.23420000,   0.19547687,  -0.15515977,   0.83810711,  -0.14498158,  -0.03400386,  -1.90545607,    1
2019/09/12 18:08:17.455,   0.77709997,   1.17009997,   0.14010000,   0.14172074,  -0.17959438,   0.66706485,  -0.15773080,  -0.04674966,  -1.90115225,    1
2019/09/12 18:08:17.471,   0.77709997,   1.17009997,   0.14010000,   0.04764749,  -0.13194689,   0.43860123,  -0.15773080,  -0.04674966,  -1.88930595,    1
2019/09/12 18:08:17.491,   0.34599999,   0.87070000,   0.46640000,  -0.08552113,  -0.10629055,   0.23090705,  -0.15826857,  -0.05081698,  -1.88871622,    1
2019/09/12 18:08:17.510,   0.52440000,   0.69790000,   0.93509996,  -0.20647246,  -0.13439035,   0.17959438,  -0.16094312,  -0.05780158,  -1.87691867,    1
2019/09/12 18:08:17.538,   0.71439999,   0.23330000,   0.47169998,  -0.22724187,  -0.23701571,   0.22357668,  -0.15315863,  -0.07270274,  -1.87303758,    1
2019/09/12 18:08:17.555,   0.32740000,   0.11189999,   0.57239997,  -0.16982053,  -0.50335294,   0.20036380,  -0.14946571,  -0.08335704,  -1.86444330,    1
2019/09/12 18:08:17.572,   0.32740000,   0.11189999,   0.57239997,  -0.12705997,  -0.76480329,   0.16126843,  -0.14946571,  -0.08335704,  -1.86877930,    1
2019/09/12 18:08:17.590,  -0.34129998,  -0.10640000,   0.00890000,  -0.05742133,  -1.08978355,   0.10384709,  -0.14566256,  -0.09580036,  -1.85817909,    1
2019/09/12 18:08:17.611,  -0.98439997,  -0.54439998,  -0.52919996,  -0.05009095,  -1.51128054,   0.08918633,  -0.14429127,  -0.11790698,  -1.84864926,    1
2019/09/12 18:08:17.639,  -0.54920000,  -1.31869996,  -0.62409997,  -0.12828170,  -2.07327652,   0.25656340,  -0.13610439,  -0.18228844,  -1.83225155,    1
2019/09/12 18:08:17.655,  -0.10140000,  -0.43719998,  -0.17330000,  -0.15271631,  -2.47033906,   0.45937064,  -0.12706234,  -0.23232737,  -1.81961560,    1
2019/09/12 18:08:17.672,  -0.10140000,  -0.43719998,  -0.17330000,  -0.21258110,  -2.52531695,   0.45937064,  -0.12706234,  -0.23232737,  -1.80858278,    1
2019/09/12 18:08:17.690,   0.76879996,  -0.31459999,   0.78920001,  -0.32131511,  -2.34938765,   0.50823987,  -0.12044510,  -0.28390667,  -1.79232621,    1
2019/09/12 18:08:17.709,   0.80299997,  -0.52370000,   0.81979996,  -0.35918877,  -1.81793499,   0.38728857,  -0.10553287,  -0.33616474,  -1.78152108,    1
2019/09/12 18:08:17.730,   0.56309998,  -0.05860000,   0.05240000,  -0.40927970,  -0.48502699,   0.37507126,  -0.09598134,  -0.37308148,  -1.76632369,    1
2019/09/12 18:08:17.755,   1.99210000,  -0.22350000,   0.28860000,  -0.51068336,   0.42394048,   0.39584067,  -0.07351662,  -0.38898420,  -1.76088083,    1
2019/09/12 18:08:17.772,   1.99210000,  -0.22350000,   0.28860000,  -0.62796944,   1.32924271,   0.19181168,  -0.07351662,  -0.38898420,  -1.75233281,    1
2019/09/12 18:08:17.789,  -0.59209996,  -0.68689996,  -0.86600000,  -0.70738196,   2.04028988,   0.18448131,  -0.05354077,  -0.35973281,  -1.74712849,    1
2019/09/12 18:08:17.810,  -1.48659992,  -0.28919998,  -1.76879990,  -0.94073248,   2.30662704,   0.42638394,  -0.03884074,  -0.31901076,  -1.73953712,    1
2019/09/12 18:08:17.830,  -1.11369991,  -0.24939999,  -1.44509995,  -1.31091678,   2.21621919,   0.51801372,  -0.01557186,  -0.26503021,  -1.73707879,    1
