date,time,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2020/01/16,02:22:11.602,35.639371698,139.296005746,221.5447,2,5,1.0157,0.7705,2.4669,0.5977,0.5060,-0.6335,0.20,1.2
2020/01/16,02:22:11.802,35.639371847,139.296005930,221.5012,2,5,0.7211,0.5469,1.7510,0.4240,0.3596,-0.4504,0.41,1.2
2020/01/16,02:22:12.002,35.639372012,139.296005902,221.4395,2,5,0.5896,0.4471,1.4316,0.3466,0.2941,-0.3684,0.41,1.2
2020/01/16,02:22:12.202,35.639371975,139.296005921,221.4300,2,5,0.5110,0.3875,1.2407,0.3003,0.2550,-0.3193,0.20,1.2
2020/01/16,02:22:12.402,35.639372028,139.296005995,221.3868,2,5,0.4572,0.3467,1.1102,0.2687,0.2282,-0.2858,0.20,1.2
2020/01/16,02:22:12.602,35.639371955,139.296006034,221.3452,2,5,0.4175,0.3166,1.0138,0.2453,0.2085,-0.2610,0.20,1.2
2020/01/16,02:22:12.802,35.639371853,139.296006095,221.3225,2,5,0.3866,0.2932,0.9389,0.2272,0.1931,-0.2417,0.41,1.3
2020/01/16,02:22:13.002,35.639371901,139.296006188,221.2951,2,5,0.3617,0.2743,0.8784,0.2125,0.1807,-0.2262,0.20,1.3
2020/01/16,02:22:13.202,35.639371973,139.296006214,221.3021,2,5,0.3411,0.2586,0.8284,0.2004,0.1704,-0.2133,0.20,1.2
2020/01/16,02:22:13.402,35.639372066,139.296006250,221.2953,2,5,0.3236,0.2454,0.7860,0.1901,0.1617,-0.2024,0.20,1.2
2020/01/16,02:22:13.602,35.639372212,139.296006358,221.2986,2,5,0.3086,0.2340,0.7495,0.1813,0.1542,-0.1930,0.20,1.2
2020/01/16,02:22:13.802,35.639372339,139.296006440,221.2981,2,5,0.2955,0.2240,0.7177,0.1735,0.1477,-0.1848,0.20,1.1
2020/01/16,02:22:14.002,35.639372418,139.296006504,221.2977,2,5,0.2839,0.2153,0.6897,0.1667,0.1419,-0.1776,0.20,1.1
2020/01/16,02:22:14.202,35.639372481,139.296006544,221.2933,2,5,0.2736,0.2075,0.6647,0.1607,0.1368,-0.1712,0.20,1.1
2020/01/16,02:22:14.402,35.639372554,139.296006584,221.2828,2,5,0.2643,0.2004,0.6422,0.1552,0.1322,-0.1654,0.41,1.1
2020/01/16,02:22:14.602,35.639372641,139.296006679,221.2771,2,5,0.2559,0.1941,0.6219,0.1503,0.1280,-0.1602,0.61,1.1
2020/01/16,02:22:14.802,35.639372817,139.296006793,221.2603,2,5,0.2483,0.1883,0.6034,0.1458,0.1242,-0.1554,0.81,1.0
2020/01/16,02:22:15.002,35.639372920,139.296006859,221.2632,2,5,0.2413,0.1830,0.5865,0.1417,0.1207,-0.1511,1.00,1.0
2020/01/16,02:22:15.202,35.639373094,139.296006920,221.2545,2,5,0.2349,0.1781,0.5709,0.1379,0.1175,-0.1470,1.21,1.0
2020/01/16,02:22:15.402,35.639373304,139.296007018,221.2270,2,7,0.2290,0.1736,0.5564,0.1344,0.1145,-0.1433,1.40,1.3
2020/01/16,02:22:15.602,35.639373423,139.296007037,221.1946,2,7,0.2234,0.1694,0.5430,0.1312,0.1117,-0.1398,1.61,1.3
2020/01/16,02:22:15.802,35.639373560,139.296007152,221.1736,2,7,0.2183,0.1656,0.5305,0.1282,0.1091,-0.1366,1.80,1.3
2020/01/16,02:22:16.002,35.639373674,139.296007297,221.1526,2,7,0.2135,0.1619,0.5188,0.1254,0.1066,-0.1336,2.01,1.3
2020/01/16,02:22:16.202,35.639373752,139.296007395,221.1295,2,7,0.2090,0.1585,0.5079,0.1227,0.1044,-0.1308,2.20,1.2
2020/01/16,02:22:16.402,35.639373786,139.296007453,221.0976,2,7,0.2048,0.1553,0.4976,0.1203,0.1022,-0.1282,2.40,1.2
2020/01/16,02:22:16.602,35.639373791,139.296007555,221.0747,2,7,0.2009,0.1523,0.4880,0.1179,0.1002,-0.1257,2.61,1.2
2020/01/16,02:22:16.802,35.639373823,139.296007730,221.0463,2,7,0.1971,0.1495,0.4789,0.1157,0.0983,-0.1233,2.81,1.2
2020/01/16,02:22:17.002,35.639373889,139.296007883,221.0237,2,7,0.1936,0.1468,0.4703,0.1137,0.0966,-0.1211,3.01,1.2
2020/01/16,02:22:17.202,35.639373964,139.296008048,221.0055,2,7,0.1902,0.1443,0.4622,0.1117,0.0949,-0.1190,3.20,1.1
2020/01/16,02:22:17.402,35.639374064,139.296008108,220.9817,2,7,0.1871,0.1419,0.4544,0.1098,0.0933,-0.1170,3.20,1.1
2020/01/16,02:22:17.602,35.639374199,139.296008097,220.9684,2,7,0.1840,0.1396,0.4471,0.1080,0.0917,-0.1151,3.40,1.1
2020/01/16,02:22:17.802,35.639374332,139.296008052,220.9556,2,7,0.1812,0.1374,0.4401,0.1063,0.0903,-0.1133,3.61,1.0
2020/01/16,02:22:18.002,35.639374401,139.296007990,220.9153,2,7,0.1782,0.1352,0.4330,0.1046,0.0888,-0.1116,0.41,1.0
2020/01/16,02:22:18.202,35.639374513,139.296008054,220.9031,2,7,0.1756,0.1332,0.4266,0.1030,0.0875,-0.1100,0.61,1.0
2020/01/16,02:22:18.402,35.639374582,139.296008167,220.8932,2,7,0.1730,0.1312,0.4204,0.1015,0.0862,-0.1084,0.41,1.0
2020/01/16,02:22:18.600,35.639374591,139.296008318,220.8784,2,7,0.1706,0.1294,0.4146,0.1001,0.0850,-0.1069,0.20,1.0
2020/01/16,02:22:18.800,35.639374251,139.296008734,220.8564,2,7,0.1683,0.1276,0.4089,0.0987,0.0838,-0.1055,0.40,1.0
2020/01/16,02:22:19.000,35.639373582,139.296008887,220.8525,2,7,0.1660,0.1259,0.4035,0.0974,0.0827,-0.1041,0.60,1.1
2020/01/16,02:22:19.200,35.639372581,139.296008694,220.8220,2,7,0.1639,0.1243,0.3983,0.0961,0.0816,-0.1028,0.80,1.1
2020/01/16,02:22:19.400,35.639371458,139.296008143,220.8159,2,7,0.1618,0.1228,0.3934,0.0949,0.0806,-0.1016,1.00,1.1
2020/01/16,02:22:19.600,35.639370263,139.296007854,220.7692,2,7,0.1598,0.1209,0.3849,0.0939,0.0763,-0.0996,1.20,1.1
2020/01/16,02:22:19.800,35.639368991,139.296007494,220.6349,2,7,0.1579,0.1191,0.3769,0.0929,0.0722,-0.0976,1.40,1.1
2020/01/16,02:22:20.000,35.639367674,139.296007668,220.5825,2,7,0.1560,0.1174,0.3695,0.0920,0.0684,-0.0959,1.60,1.0
2020/01/16,02:22:20.200,35.639366280,139.296007834,220.6387,2,7,0.1542,0.1158,0.3626,0.0910,0.0649,-0.0942,1.80,1.0
2020/01/16,02:22:20.400,35.639364778,139.296007587,220.5544,2,7,0.1524,0.1142,0.3560,0.0901,0.0616,-0.0926,2.00,1.0
2020/01/16,02:22:20.600,35.639363088,139.296007075,220.5958,2,7,0.1508,0.1127,0.3499,0.0892,0.0584,-0.0912,2.20,1.0
