date,time,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019/11/04,08:21:18.400,35.639393133,139.296211411,219.1419,1,16,0.0081,0.0064,0.0411,-0.0046,-0.0019,0.0095,-0.20,5.3
2019/11/04,08:21:18.600,35.639392982,139.296211387,219.1462,1,16,0.0081,0.0064,0.0410,-0.0047,-0.0018,0.0095,-0.00,6.2
2019/11/04,08:21:18.800,35.639392951,139.296211358,219.1429,1,16,0.0081,0.0063,0.0410,-0.0047,-0.0017,0.0094,-0.00,6.3
2019/11/04,08:21:19.000,35.639392832,139.296211375,219.1229,1,16,0.0081,0.0064,0.0410,-0.0046,-0.0017,0.0094,-0.00,6.4
2019/11/04,08:21:19.200,35.639392742,139.296211390,219.1299,1,16,0.0081,0.0063,0.0410,-0.0045,-0.0015,0.0094,-0.00,6.5
2019/11/04,08:21:19.400,35.639392618,139.296211441,219.0989,1,17,0.0065,0.0061,0.0345,-0.0040,0.0049,-0.0042,-0.00,6.7
2019/11/04,08:21:19.600,35.639392655,139.296211437,219.0976,1,17,0.0065,0.0062,0.0345,-0.0039,0.0049,-0.0042,-0.00,6.7
2019/11/04,08:21:19.800,35.639392666,139.296211482,219.1021,1,17,0.0066,0.0063,0.0345,-0.0040,0.0050,-0.0042,-0.00,6.9
2019/11/04,08:21:20.000,35.639392705,139.296211475,219.1080,1,17,0.0065,0.0062,0.0345,-0.0041,0.0049,-0.0043,-0.00,7.1
2019/11/04,08:21:20.200,35.639392749,139.296211454,219.0972,1,17,0.0065,0.0061,0.0345,-0.0040,0.0050,-0.0043,-0.00,7.2
2019/11/04,08:21:20.400,35.639392789,139.296211415,219.1041,1,17,0.0066,0.0062,0.0345,-0.0039,0.0049,-0.0043,-0.00,73.2
2019/11/04,08:21:20.600,35.639392810,139.296211403,219.0998,1,17,0.0065,0.0061,0.0345,-0.0039,0.0048,-0.0043,-0.00,111.5
2019/11/04,08:21:20.800,35.639392793,139.296211401,219.1050,1,17,0.0065,0.0065,0.0345,-0.0037,0.0049,-0.0043,-0.00,149.4
2019/11/04,08:21:21.000,35.639392771,139.296211391,219.0985,1,17,0.0063,0.0062,0.0345,-0.0040,0.0049,-0.0042,-0.00,185.1
2019/11/04,08:21:21.200,35.639392762,139.296211395,219.1040,1,17,0.0066,0.0064,0.0345,-0.0039,0.0049,-0.0043,-0.00,218.7
2019/11/04,08:21:21.400,35.639392757,139.296211393,219.1056,1,17,0.0066,0.0062,0.0345,-0.0038,0.0049,-0.0043,-0.00,249.4
2019/11/04,08:21:21.600,35.639392733,139.296211428,219.1094,1,17,0.0064,0.0060,0.0345,-0.0042,0.0049,-0.0041,-0.00,272.1
2019/11/04,08:21:21.800,35.639392518,139.296211413,219.1159,1,17,0.0065,0.0061,0.0345,-0.0040,0.0049,-0.0043,-0.00,301.8
2019/11/04,08:21:22.000,35.639392432,139.296211269,219.1241,1,17,0.0064,0.0063,0.0345,-0.0040,0.0050,-0.0041,-0.00,330.0
2019/11/04,08:21:22.200,35.639392391,139.296211205,219.1175,1,17,0.0066,0.0063,0.0345,-0.0038,0.0049,-0.0042,-0.00,360.3
2019/11/04,08:21:22.400,35.639392402,139.296211236,219.1245,1,17,0.0066,0.0061,0.0345,-0.0038,0.0049,-0.0043,-0.00,387.5
2019/11/04,08:21:22.600,35.639392443,139.296211232,219.1226,1,17,0.0065,0.0061,0.0345,-0.0039,0.0049,-0.0042,-0.00,406.0
2019/11/04,08:21:22.800,35.639392541,139.296211316,219.1143,1,17,0.0065,0.0061,0.0345,-0.0040,0.0049,-0.0043,-0.00,424.7
2019/11/04,08:21:23.000,35.639392636,139.296211381,219.1059,1,17,0.0066,0.0063,0.0345,-0.0040,0.0049,-0.0043,-0.00,439.1
