date,time,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019/11/06,02:02:07.997,35.639380900,139.296190099,218.8916,2,4,1.1995,1.0480,2.8743,0.7672,-0.7635,-1.3998,0.19,0.0
2019/11/06,02:02:08.197,35.639381098,139.296190236,218.9161,2,4,0.8515,0.7445,2.0389,0.5451,-0.5427,-0.9931,0.19,0.0
2019/11/06,02:02:08.397,35.639380797,139.296190284,219.0004,2,4,0.6961,0.6088,1.6666,0.4457,-0.4438,-0.8118,0.19,0.0
2019/11/06,02:02:08.597,35.639380507,139.296190316,219.0916,2,4,0.6033,0.5277,1.4441,0.3863,-0.3847,-0.7034,0.19,0.0
2019/11/06,02:02:08.797,35.639380382,139.296190254,219.1096,2,4,0.5398,0.4722,1.2921,0.3457,-0.3442,-0.6293,0.19,0.0
2019/11/06,02:02:08.997,35.639380449,139.296190222,219.1101,2,4,0.4929,0.4312,1.1798,0.3157,-0.3142,-0.5746,0.19,0.0
2019/11/06,02:02:09.197,35.639380460,139.296190247,219.0907,2,4,0.4564,0.3993,1.0924,0.2923,-0.2910,-0.5321,0.19,0.0
2019/11/06,02:02:09.397,35.639380647,139.296189909,219.0804,2,4,0.4270,0.3736,1.0220,0.2735,-0.2722,-0.4978,0.19,0.0
2019/11/06,02:02:09.597,35.639380825,139.296189617,219.1347,2,4,0.4027,0.3523,0.9637,0.2579,-0.2566,-0.4693,0.19,0.0
2019/11/06,02:02:09.797,35.639380991,139.296189985,219.1530,2,4,0.3820,0.3343,0.9143,0.2447,-0.2434,-0.4453,0.19,0.0
2019/11/06,02:02:09.997,35.639381215,139.296190191,219.1442,2,4,0.3643,0.3188,0.8718,0.2333,-0.2321,-0.4246,0.19,0.0
2019/11/06,02:02:10.197,35.639381406,139.296190167,219.1283,2,4,0.3488,0.3052,0.8348,0.2234,-0.2222,-0.4065,0.19,0.0
2019/11/06,02:02:10.397,35.639381268,139.296189958,219.1027,2,4,0.3351,0.2933,0.8021,0.2147,-0.2134,-0.3906,0.19,0.0
2019/11/06,02:02:10.597,35.639381293,139.296190343,219.0597,2,4,0.3230,0.2827,0.7730,0.2069,-0.2056,-0.3764,0.19,0.0
2019/11/06,02:02:10.797,35.639381327,139.296190728,219.0535,2,4,0.3120,0.2731,0.7468,0.1999,-0.1986,-0.3636,0.19,0.0
2019/11/06,02:02:10.997,35.639381102,139.296190950,219.0394,2,4,0.3021,0.2645,0.7231,0.1935,-0.1923,-0.3521,0.19,0.0
2019/11/06,02:02:11.197,35.639381387,139.296191200,219.0525,2,4,0.2931,0.2566,0.7016,0.1878,-0.1865,-0.3416,0.19,0.0
2019/11/06,02:02:11.397,35.639381621,139.296191125,219.0866,2,4,0.2849,0.2494,0.6818,0.1825,-0.1813,-0.3319,0.39,0.0
2019/11/06,02:02:13.197,35.639382134,139.296189353,219.5382,2,4,0.2772,0.2428,0.6635,0.1776,-0.1760,-0.3229,0.19,0.0
2019/11/06,02:02:13.397,35.639384315,139.296196779,220.0123,2,4,1.1978,1.0482,2.8530,0.7665,-0.7613,-1.3928,0.19,1.0
2019/11/06,02:02:16.997,35.639401197,139.296197055,217.3899,2,4,0.6492,0.5773,1.5925,0.3256,-0.5142,-0.7716,0.19,2.7
2019/11/06,02:02:17.197,35.639398534,139.296199614,218.2260,2,6,0.5623,0.4881,1.3723,0.2899,-0.4628,-0.6946,0.19,6.2
