date,time,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019/12/04,10:57:19.800,35.639384891,139.296212080,219.0929,1,13,0.0054,0.0047,0.0218,-0.0026,0.0039,-0.0076,0.19,4.0
2019/12/04,10:57:20.000,35.639386719,139.296213120,215.2279,2,12,0.3962,0.3482,1.6370,-0.2157,0.3775,-0.5901,0.40,2.2
2019/12/04,10:57:20.200,35.639387114,139.296212891,215.0207,2,12,0.3300,0.2924,1.3769,-0.1880,0.3420,-0.5032,0.40,2.0
2019/12/04,10:57:20.400,35.639387355,139.296212758,214.9379,2,12,0.2890,0.2572,1.2120,-0.1684,0.3118,-0.4460,0.60,2.1
2019/12/04,10:57:20.600,35.639387570,139.296212644,214.8706,2,12,0.2603,0.2323,1.0953,-0.1538,0.2876,-0.4048,0.40,2.1
2019/12/04,10:57:20.800,35.639387728,139.296212606,214.8304,2,12,0.2388,0.2135,1.0070,-0.1424,0.2680,-0.3732,0.19,2.0
2019/12/04,10:57:21.000,35.639387784,139.296212545,214.8308,2,12,0.2219,0.1987,0.9371,-0.1332,0.2518,-0.3481,0.19,2.1
2019/12/04,10:57:21.200,35.639387823,139.296212455,214.8101,2,12,0.2081,0.1865,0.8801,-0.1256,0.2381,-0.3274,0.40,2.0
2019/12/04,10:57:21.400,35.639387879,139.296212272,214.8053,2,12,0.1967,0.1764,0.8323,-0.1191,0.2264,-0.3100,0.19,2.0
2019/12/04,10:57:21.600,35.639387253,139.296212213,214.8439,2,12,0.1852,0.1674,0.7905,-0.1124,0.2153,-0.2934,0.19,2.1
2019/12/04,10:57:21.800,35.639386719,139.296212032,214.9241,2,12,0.1756,0.1602,0.7550,-0.1068,0.2065,-0.2792,0.19,2.2
2019/12/04,10:57:22.000,35.639386394,139.296211771,214.9508,2,12,0.1702,0.1553,0.7340,-0.1042,0.2036,-0.2722,0.19,1.8
2019/12/04,10:57:22.200,35.639386242,139.296211684,214.9518,2,12,0.1653,0.1504,0.7142,-0.1017,0.2011,-0.2657,0.19,2.8
2019/12/04,10:57:22.400,35.639386036,139.296211684,214.9521,2,12,0.1607,0.1461,0.6960,-0.0994,0.1985,-0.2595,0.19,3.0
2019/12/04,10:57:22.600,35.639383873,139.296210978,219.0971,1,12,0.0071,0.0063,0.0318,-0.0048,0.0105,-0.0122,0.40,3.1
2019/12/04,10:57:22.800,35.639383811,139.296210954,219.0960,1,12,0.0070,0.0063,0.0318,-0.0048,0.0106,-0.0123,0.40,3.1
