date,time,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019/12/04,11:13:20.200,35.639386453,139.296224394,216.4876,2,5,0.9079,0.5702,3.1097,-0.2290,-0.3286,1.0598,0.19,1.0
2019/12/04,11:13:20.400,35.639385637,139.296224836,216.3624,2,5,0.6435,0.4043,2.2066,-0.1620,-0.2314,0.7514,0.19,1.2
2019/12/04,11:13:20.600,35.639385495,139.296224729,216.1892,2,5,0.5258,0.3304,1.8039,-0.1323,-0.1886,0.6141,0.19,1.2
2019/12/04,11:13:20.800,35.639386626,139.296223929,216.2595,2,5,0.4556,0.2863,1.5632,-0.1146,-0.1632,0.5320,0.19,1.1
2019/12/04,11:13:21.000,35.639387442,139.296223456,216.3032,2,5,0.4076,0.2561,1.3988,-0.1025,-0.1458,0.4760,0.19,1.0
2019/12/04,11:13:21.200,35.639387843,139.296223155,216.3233,2,5,0.3721,0.2339,1.2773,-0.0935,-0.1330,0.4346,0.19,1.0
2019/12/04,11:13:21.400,35.639388327,139.296222674,216.3836,2,5,0.3446,0.2166,1.1829,-0.0866,-0.1230,0.4024,0.19,1.0
2019/12/04,11:13:21.600,35.639388453,139.296222447,216.3660,2,5,0.3223,0.2026,1.1067,-0.0810,-0.1150,0.3765,0.19,1.0
2019/12/04,11:13:21.800,35.639388131,139.296222531,216.2560,2,5,0.3039,0.1910,1.0436,-0.0763,-0.1084,0.3550,0.39,1.1
2019/12/04,11:13:22.000,35.639387391,139.296222954,216.0973,2,5,0.2883,0.1813,0.9902,-0.0724,-0.1028,0.3368,0.39,1.2
2019/12/04,11:13:22.200,35.639386645,139.296223292,215.9342,2,5,0.2749,0.1728,0.9443,-0.0690,-0.0979,0.3212,0.19,1.4
2019/12/04,11:13:22.400,35.639385994,139.296223621,215.8095,2,5,0.2632,0.1655,0.9042,-0.0661,-0.0937,0.3075,0.19,1.5
2019/12/04,11:13:22.600,35.639385455,139.296223820,215.7161,2,5,0.2529,0.1590,0.8688,-0.0635,-0.0900,0.2955,0.19,1.5
2019/12/04,11:13:22.800,35.639385239,139.296223793,215.6594,2,5,0.2437,0.1532,0.8373,-0.0611,-0.0867,0.2847,0.19,1.5
2019/12/04,11:13:23.000,35.639385070,139.296223631,215.6301,2,5,0.2343,0.1480,0.8089,-0.0601,-0.0842,0.2743,0.19,1.8
2019/12/04,11:13:23.200,35.639384938,139.296223421,215.5947,2,5,0.2258,0.1432,0.7831,-0.0590,-0.0819,0.2650,0.19,2.2
2019/12/04,11:13:23.400,35.639384745,139.296223197,215.5489,2,5,0.2183,0.1389,0.7597,-0.0580,-0.0798,0.2566,0.39,2.5
2019/12/04,11:13:23.600,35.639384758,139.296223026,215.5090,2,5,0.2123,0.1350,0.7384,-0.0562,-0.0775,0.2495,0.59,1.5
2019/12/04,11:13:23.800,35.639384654,139.296222927,215.4396,2,5,0.2068,0.1314,0.7188,-0.0546,-0.0753,0.2429,0.19,1.5
2019/12/04,11:13:24.000,35.639384635,139.296222866,215.3776,2,5,0.2016,0.1281,0.7007,-0.0531,-0.0733,0.2369,0.19,1.5
2019/12/04,11:13:24.200,35.639384583,139.296222836,215.3287,2,5,0.1969,0.1250,0.6839,-0.0517,-0.0715,0.2312,0.19,1.5
2019/12/04,11:13:24.400,35.639384599,139.296222808,215.2831,2,5,0.1925,0.1222,0.6682,-0.0504,-0.0697,0.2260,0.39,1.5
2019/12/04,11:13:24.600,35.639384588,139.296222688,215.2537,2,5,0.1883,0.1195,0.6536,-0.0492,-0.0681,0.2211,0.19,1.5
2019/12/04,11:13:24.800,35.639384587,139.296222613,215.2198,2,5,0.1844,0.1170,0.6399,-0.0481,-0.0666,0.2165,0.39,1.5
2019/12/04,11:13:25.000,35.639384705,139.296222506,215.1991,2,5,0.1817,0.1151,0.6276,-0.0490,-0.0671,0.2132,0.19,1.0
2019/12/04,11:13:25.200,35.639384907,139.296222364,215.1938,2,5,0.1790,0.1132,0.6159,-0.0495,-0.0673,0.2101,0.39,1.0
2019/12/04,11:13:25.400,35.639385127,139.296222165,215.1938,2,5,0.1764,0.1114,0.6048,-0.0499,-0.0674,0.2070,0.19,1.0
2019/12/04,11:13:25.600,35.639385259,139.296222079,215.1861,2,5,0.1740,0.1097,0.5944,-0.0503,-0.0674,0.2041,0.19,1.0
2019/12/04,11:13:25.800,35.639385364,139.296221959,215.1855,2,5,0.1716,0.1081,0.5845,-0.0505,-0.0674,0.2013,0.19,1.1
2019/12/04,11:13:26.000,35.639385446,139.296221869,215.1786,2,5,0.1693,0.1066,0.5750,-0.0507,-0.0673,0.1987,0.19,1.2
2019/12/04,11:13:26.200,35.639385569,139.296221741,215.1782,2,5,0.1672,0.1051,0.5660,-0.0508,-0.0672,0.1961,0.39,1.2
2019/12/04,11:13:26.400,35.639385698,139.296221568,215.1921,2,10,0.1634,0.1034,0.5560,-0.0496,-0.0646,0.1918,0.39,1.2
2019/12/04,11:13:26.600,35.639385848,139.296221439,215.2002,2,10,0.1599,0.1017,0.5464,-0.0485,-0.0621,0.1877,0.19,1.3
2019/12/04,11:13:26.800,35.639386043,139.296221292,215.2099,2,10,0.1567,0.1001,0.5374,-0.0475,-0.0599,0.1839,0.19,1.4
2019/12/04,11:13:27.000,35.639386216,139.296221136,215.2061,2,10,0.1536,0.0985,0.5288,-0.0465,-0.0578,0.1804,0.19,1.3
2019/12/04,11:13:27.200,35.639386505,139.296220979,215.2120,2,10,0.1501,0.0971,0.5206,-0.0457,-0.0559,0.1767,0.19,1.2
2019/12/04,11:13:27.400,35.639386743,139.296220831,215.2136,2,10,0.1468,0.0957,0.5127,-0.0449,-0.0541,0.1732,0.19,1.1
2019/12/04,11:13:27.600,35.639386966,139.296220591,215.2101,2,10,0.1437,0.0944,0.5052,-0.0441,-0.0524,0.1700,0.39,1.0
2019/12/04,11:13:27.800,35.639387522,139.296220265,215.3808,2,10,0.1402,0.0930,0.4958,-0.0427,-0.0486,0.1651,0.39,1.1
2019/12/04,11:13:28.000,35.639387789,139.296220079,215.4190,2,9,0.1370,0.0917,0.4869,-0.0414,-0.0450,0.1606,0.19,1.2
2019/12/04,11:13:28.200,35.639388139,139.296219798,215.5042,2,9,0.1336,0.0904,0.4782,-0.0403,-0.0417,0.1558,0.19,1.3
